area	mScore	mTime	sScore	sTime	country
Eurasia	452.28207	139	416.0832	54	Armenia
Oceania	515.9317	230	515.59331	65	Australia
Europe	508.3109	146	531.50215	96	Austria
Caucasus	462.75072	130	438.0663	61	Azerbaijan
Mid East	436.03681	131	449.41559	85	Bahrain
Europe	549.1849	224	508.54996	0	Belgium
Americas	461.68054	231	480.27404	161	Chile
Asia	591.20614	133	551.70282	90	Chinese Taipei
Europe	490.17468	134	515.99002	95	Croatia
Europe	510.8484	163	536.41122	60	Czech Republic
Europe	536.96324	124	527.99051	62	Denmark
Europe	542.36428	188	528.78134	76	England
Europe	545.43789	139	570.22058	98	Finland
Eurasia	450.1238	148	454.8416	110	Georgia
Europe	527.74105	163	527.76378	75	Germany
Asia	601.60879	158	534.94766	88	Hong Kong
Europe	515.39551	148	534.38662	72	Hungary
Mid East	430.75387	146	452.87933	106	Iran
Europe	527.39534	150	516.05487	63	Ireland
Europe	507.82103	214	523.85514	78	Italy
Asia	585.37313	150	558.61141	91	Japan
Eurasia	501.00161	140	494.53247	57	Kazakhstan
Asia	604.87414	121	586.72938	92	Korea
Mid East	341.75749	120	347.13579	85	Kuwait
Europe	533.6899	133	514.62823	60	Lithuania
Europe	495.76596	183	445.82575	39	Malta
Africa	334.59379	174	263.65437	44	Morocco
Europe	540.0542	195	531.15609	42	Netherlands
Oceania	486.12292	168	496.68738	52	New Zealand
Europe	562.48305	232	516.71665	72	Northern Ireland
Europe	494.95502	157	493.96655	55	Norway
Mid East	384.85653	170	377.00607	120	Oman
Europe	481.16492	157	504.89189	64	Poland
Europe	532.25795	250	521.70396	162	Portugal
Mid East	412.91588	185	394.15586	135	Qatar
Europe	482.28068	148	505.38524	56	Romania
Asia	542.0973	104	552.34545	49	Russian Federation
Mid East	410.20955	147	429.38681	82	Saudi Arabia
Eurasia	515.93591	153	515.50762	72	Serbia
Asia	605.78601	208	583.3389	96	Singapore
Europe	506.76913	147	531.80465	101	Slovak Republic
Europe	513.02565	169	520.28015	101	Slovenia
Europe	482.42931	167	505.15222	145	Spain
Europe	503.93782	138	533.48125	75	Sweden
Asia	457.97586	167	471.57075	109	Thailand
Africa	359.3446	175	345.6063	93	Tunisia
Eurasia	469.27486	126	462.5044	94	Turkey
Mid East	434.3831	154	427.82901	108	United Arab Emirates
Americas	540.64929	206	543.8407	105	United States
Mid East	247.5652	135	209	91	Yemen
